eventID,location,dateTime,teamID
1,Qingzhou,11/17/2025,6
2,Moyuan,11/26/2025,5
3,Moses,12/25/2024,6
4,Ust’-Koksa,5/24/2025,6
5,Beigucheng,10/29/2025,2
6,Mikhaylovskoye,12/7/2024,2
7,Tiegai,4/10/2025,1
8,Zgornje Jezersko,4/9/2025,4
9,Hanfeng,10/1/2025,6
10,Hrazdan,10/6/2025,6
11,Hongwei,1/29/2025,6
12,Pata,4/7/2025,3
13,Sheksna,10/31/2025,1
14,Muaralabuh,12/2/2025,2
15,Longquan,3/5/2025,5
16,Luzern,8/10/2025,6
17,Archángelos,11/2/2025,1
18,Pasir Mas,3/12/2025,2
19,Pejibaye,5/30/2025,3
20,Toledo,10/23/2025,1
21,Itagüí,10/28/2025,1
22,Visconde do Rio Branco,3/7/2025,6
23,Asahi,2/26/2025,5
24,Cikiruh,4/19/2025,1
25,Zhujiang,3/3/2025,5
26,Udomlya,2/5/2025,2
27,Budagovo,1/6/2025,3
28,Storuman,3/6/2025,1
29,San Gregorio,6/29/2025,4
30,Ban Ko Lan,2/25/2025,6
31,Łomazy,2/19/2025,3
32,Västerås,4/6/2025,1
33,Eldoret,12/9/2024,6
34,Al Ḩudaydah,1/15/2025,2
35,Claveria,11/11/2025,5
36,Settat,8/9/2025,3
37,New Orleans,5/16/2025,4
38,Viçosa do Ceará,10/25/2025,5
39,Tutayev,1/10/2025,6
40,Karanggeneng,9/15/2025,3
